School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Liberty Boulevard Elementary,Los Angeles,Los Angeles Unified,"2728 Liberty Blvd. South Gate, CA 90280-2055",(323) 583-4196,"Claudia Delgadillo, claudia.x.delgadillo@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Liggett Street Elementary,Los Angeles,Los Angeles Unified,"9373 Moonbeam Ave. Panorama City, CA 91402-1302",(818) 892-4388,"Brenda Olortegui, bolorteg@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lillian Street Elementary,Los Angeles,Los Angeles Unified,"5909 Lillian St. Los Angeles, CA 90001-1433",(323) 582-0705,"William Downing, william.downing@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Limerick Avenue Elementary,Los Angeles,Los Angeles Unified,"8530 Limerick Ave. Canoga Park, CA 91306-1299",(818) 341-1730,"Betsy Garvin, bxg0349@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles,Los Angeles Unified,"6361 Cottage St. Huntington Park, CA 90255-3521",(323) 584-3800,"Jonathan Chaikittirattana, jxc3832@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Linda Esperanza Marquez High B LIBRA Academy,Los Angeles,Los Angeles Unified,"6361 Cottage St. Huntington Park, CA 90255-3521",(323) 584-3800,"Nicole Grakal, ngrakal@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Linda Esperanza Marquez High C School of Social Justice,Los Angeles,Los Angeles Unified,"6361 Cottage St. Huntington Park, CA 90255-3521",(323) 584-3800,"Kyle Boswell, kbb1912@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Lockwood Avenue Elementary,Los Angeles,Los Angeles Unified,"4345 Lockwood Ave. Los Angeles, CA 90029-2809",(323) 662-2101,"Paula Kurilich, pkuvilic@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Logan Academy of Global Ecology,Los Angeles,Los Angeles Unified,"1711 West Montana St. Los Angeles, CA 90026-3311",(213) 413-6353,"Melissa Shelton, mshelt1@lausd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Loma Vista Elementary,Los Angeles,Los Angeles Unified,"3629 East 58th St. Maywood, CA 90270-2616",(323) 582-6153,"Carmen Hernandez, cherna03@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Loren Miller Elementary,Los Angeles,Los Angeles Unified,"830 West 77th St. Los Angeles, CA 90044-5146",(323) 753-4445,"Linda Arnold Funches, lfunches@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Lorena Street Elementary,Los Angeles,Los Angeles Unified,"1015 South Lorena St. Los Angeles, CA 90023-2222",(323) 268-1128,"Patricia Gonzalez, pxg9235@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Loreto Street Elementary,Los Angeles,Los Angeles Unified,"3408 Arroyo Seco Ave. Los Angeles, CA 90065-2454",(323) 222-5176,"Maria Arciniega, mla8945@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lorne Street Elementary,Los Angeles,Los Angeles Unified,"17440 Lorne St. Northridge, CA 91325-4459",(818) 342-3123,"Lisa Elan, lje9260@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Los Angeles Academy Middle,Los Angeles,Los Angeles Unified,"644 East 56th St. Los Angeles, CA 90011-4660",(323) 238-1800,"Ruben Hernandez, rherna07@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Los Angeles Elementary,Los Angeles,Los Angeles Unified,"1211 South Hobart Blvd. Los Angeles, CA 90006-3113",(323) 734-8233,"Maria Ozaeta, meo9998@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Los Angeles High School of the Arts,Los Angeles,Los Angeles Unified,"701 South Catalina St. Los Angeles, CA 90005-1943",(213) 480-4600,"Susan Canjura, susan.canjura@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Los Angeles Senior High,Los Angeles,Los Angeles Unified,"4650 West Olympic Blvd. Los Angeles, CA 90019-1831",(323) 900-2700,"Travis Kiel, txk9404@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,Los Angeles,Los Angeles Unified,"1740 North New Hampshire Ave. Los Angeles, CA 90027-4208",(323) 663-0674,"Katherine Pilkinton, kpilkint@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Lovelia P. Flournoy Elementary,Los Angeles,Los Angeles Unified,"1630 East 111th St. Los Angeles, CA 90059-1908",(323) 564-2545,"Angela Cash, agm14672@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Loyola Village Fine And Performing Arts Magnet,Los Angeles,Los Angeles Unified,"8821 Villanova Ave. Los Angeles, CA 90045-3496",(310) 670-0480,"Krishnay Smith, krishna.smith@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Lucille Roybal-Allard Elementary,Los Angeles,Los Angeles Unified,"3232 Saturn Ave. Huntington Park, CA 90255-5440",(323) 826-1650,"Reina Schaffer, rschaffe@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
MacArthur Park Elementary School for the Visual and Performing Arts,Los Angeles,Los Angeles Unified,"2300 West Seventh St. Los Angeles, CA 90057-3903",(213) 381-7217,"Heidy Ortega, hso9361@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Madison Elementary,Los Angeles,Los Angeles Unified,"9820 Madison Ave. South Gate, CA 90280-4319",(323) 568-3900,"Gretchen Young, gyoung01@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Magnolia Avenue Elementary,Los Angeles,Los Angeles Unified,"1626 South Orchard Ave. Los Angeles, CA 90006-5316",(213) 748-6281,"Juan Reyes, juan.reyes@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Main Street Elementary,Los Angeles,Los Angeles Unified,"129 East 53rd St. Los Angeles, CA 90011-4517",(323) 232-4856,"Eva Rodriguez Chavez, emr9387@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Malabar Street Elementary,Los Angeles,Los Angeles Unified,"3200 East Malabar St. Los Angeles, CA 90063-4021",(323) 261-1103,"Margarita Gutierrez, margarita.gutierrez@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Manchester Avenue Elementary,Los Angeles,Los Angeles Unified,"661 West 87th St. Los Angeles, CA 90044-5703",(323) 778-3472,"Veronica Brown, vxb2151@lausd.net",Elementary Schools (Public),1,6,Yes,No,No,No
Manhattan Place Elementary,Los Angeles,Los Angeles Unified,"1850 West 96th St. Los Angeles, CA 90047-3725",(323) 756-1308,"Emily Barbee, ems9856@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Manual Arts Senior High,Los Angeles,Los Angeles Unified,"4131 South Vermont Ave. Los Angeles, CA 90037-1918",(323) 846-7300,"Erica Thomas, emt0904@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
Maple Primary Center,Los Angeles,Los Angeles Unified,"3601 South Maple Ave. Los Angeles, CA 90011-2619",(323) 232-0984,"Sharyn Clark, sclark1@lausd.net",Elementary Schools (Public),K,1,Yes,No,No,No
Mar Vista Elementary,Los Angeles,Los Angeles Unified,"3330 Granville Ave. Los Angeles, CA 90066-2052",(310) 391-1175,"Katherine Choe, katherine.choe@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Marguerite Poindexter LaMotte Elementary,Los Angeles,Los Angeles Unified,"4410 Orchard Ave. Los Angeles, CA 90037-3018",(323) 235-8350,"Rebecca Canham, rebecca.canham@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Marianna Avenue Elementary,Los Angeles,Los Angeles Unified,"4215 East Gleason St. Los Angeles, CA 90063-1423",(323) 262-6382,"Rafael Escobar, rafael.escobar@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Marina del Rey Middle,Los Angeles,Los Angeles Unified,"12500 Braddock Dr. Los Angeles, CA 90066-6808",(310) 578-2700,"Lorraine Machado, lmachado@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Mariposa-Nabi Primary Center,Los Angeles,Los Angeles Unified,"987 South Mariposa Ave. Los Angeles, CA 90006-1413",(213) 385-0241,"Jeannette Garcia, jxg2802@lausd.net",Elementary Schools (Public),K,2,Yes,No,No,No
Mark Twain Middle,Los Angeles,Los Angeles Unified,"2224 Walgrove Ave. Los Angeles, CA 90066-3502",(310) 305-3100,"Althea Ford, aford2@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Martha Escutia Primary Center,Los Angeles,Los Angeles Unified,"6401 Bear Ave. Bell, CA 90201-2301",(323) 585-8237,"Janis Shinmei, janis.shinmei@lausd.net",Elementary Schools (Public),K,K,Yes,No,No,No
Martin Luther King Jr. Elementary,Los Angeles,Los Angeles Unified,"3989 South Hobart Blvd. Los Angeles, CA 90062-1124",(323) 294-0031,"Chanelle Thomas, cmt2168@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Marvin Elementary,Los Angeles,Los Angeles Unified,"2411 Marvin Ave. Los Angeles, CA 90016-1910",(323) 938-3608,"Elizabeth Banuelos, exb2873@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Mary McLeod Bethune Middle,Los Angeles,Los Angeles Unified,"155 West 69th St. Los Angeles, CA 90003-1823",(323) 541-1800,"Isabel Perez, iperez1@lausd.net",Intermediate/Middle Schools (Public),7,8,Yes,No,Yes,No
Maurice Sendak Elementary,Los Angeles,Los Angeles Unified,"11414 West Tiara St. North Hollywood, CA 91601-1123",(818) 509-3400,"George Khatchadourian, gkhatcha@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Mayall Street Elementary,Los Angeles,Los Angeles Unified,"16701 Mayall St. North Hills, CA 91343-1136",(818) 363-5058,"Linda Kim, lkim5@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Mayberry Street Elementary,Los Angeles,Los Angeles Unified,"2414 Mayberry St. Los Angeles, CA 90026-2318",(213) 413-3420,"Jessica Niessen, jessica.niessen@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Maywood Academy High,Los Angeles,Los Angeles Unified,"6125 Pine Ave. Maywood, CA 90270-3110",(323) 838-6000,"Daniel Gettinger, daniel.gettinger@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Maywood Elementary,Los Angeles,Los Angeles Unified,"5200 Cudahy Ave. Maywood, CA 90270-2405",(323) 890-2440,"Ana Garcia, analaura.garcia@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
McKinley Avenue Elementary,Los Angeles,Los Angeles Unified,"7812 McKinley Ave. Los Angeles, CA 90001-2829",(323) 582-7481,"Tanya Stokes Mack, tstoke2@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Melrose Avenue Elementary,Los Angeles,Los Angeles Unified,"731 North Detroit St. Los Angeles, CA 90046-7605",(323) 938-6275,"Mathew Needleman, mathew.needleman@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Melvin Avenue Elementary,Los Angeles,Los Angeles Unified,"7700 Melvin Ave. Reseda, CA 91335-2327",(818) 886-7171,"Lizza Irizarry Alvarez, lizza.irizarry@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Menlo Avenue Elementary,Los Angeles,Los Angeles Unified,"4156 Menlo Ave. Los Angeles, CA 90037-1933",(323) 232-4291,"Keisha Moton, kxb3360@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Mervyn M. Dymally High,Los Angeles,Los Angeles Unified,"8800 South San Pedro St. Los Angeles, CA 90003-3541",(323) 565-4600,"Darvina Bradley, darvina.bradley@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Meyler Street Elementary,Los Angeles,Los Angeles Unified,"1123 West 223rd St. Torrance, CA 90502-2250",(310) 328-3910,"Elizabeth Pratt, eip3143@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Michelle Obama Elementary,Los Angeles,Los Angeles Unified,"8150 North Cedros Ave. Panorama City, CA 91402-4704",(818) 778-5425,"Carmen Dominguez, cld1115@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Micheltorena Street Elementary,Los Angeles,Los Angeles Unified,"1511 Micheltorena St. Los Angeles, CA 90026-1621",(323) 661-2125,"Nichole Sakellarion, nxs0220@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Middle College High,Los Angeles,Los Angeles Unified,"1600 Imperial Hwy, Bldg. 16 Los Angeles, CA 90047-4810",(323) 418-4700,"Betty Washington, bwash1@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Middleton Primary Center,Los Angeles,Los Angeles Unified,"2410 Zoe Ave. Huntington Park, CA 90255-3812",(323) 826-9533,"Lorena Avalos, lra6890@lausd.net",Elementary Schools (Public),K,1,Yes,No,No,No
Middleton Street Elementary,Los Angeles,Los Angeles Unified,"6537 Malabar St. Huntington Park, CA 90255-4025",(323) 582-6387,"Elizabeth Valjalo, exv5869@lausd.net",Elementary Schools (Public),1,6,Yes,No,No,No
Miles Avenue Elementary,Los Angeles,Los Angeles Unified,"6720 Miles Ave. Huntington Park, CA 90255-5012",(323) 588-8296,"Cora Watkins, cwatkins@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Miramonte Elementary,Los Angeles,Los Angeles Unified,"1400 East 68th St. Los Angeles, CA 90001-1916",(323) 583-1257,"Veronica Herrarte, vherrart@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Montara Avenue Elementary,Los Angeles,Los Angeles Unified,"10018 Montara Ave. South Gate, CA 90280-5605",(323) 567-1451,"Juana Cortez, juana.cortez@lausd.net",Elementary Schools (Public),K,6,Yes,No,Yes,No
Monte Vista Street Elementary,Los Angeles,Los Angeles Unified,"5423 Monte Vista St. Los Angeles, CA 90042-3322",(323) 254-7261,"Megan Guerrero, mguerr3@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Morningside Elementary,Los Angeles,Los Angeles Unified,"576 North Maclay Ave. San Fernando, CA 91340-2497",(818) 365-7181,"Lowell Bernstein, lowell.bernstein@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Morris K. Hamasaki Elementary,Los Angeles,Los Angeles Unified,"4865 East First St. Los Angeles, CA 90022-1305",(323) 263-3869,"Carlos Madrigal, carlos.madrigal@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Mountain View Elementary,Los Angeles,Los Angeles Unified,"6410 Olcott St. Tujunga, CA 91042-2830",(818) 352-1616,"Sosie Kralian, sosie.kralian@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Mt. Gleason Middle,Los Angeles,Los Angeles Unified,"10965 Mt. Gleason Ave. Sunland, CA 91040-2229",(818) 951-2580,"Cheryl Minke, cminke@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Mt. Washington Elementary,Los Angeles,Los Angeles Unified,"3981 San Rafael Ave. Los Angeles, CA 90065-4013",(323) 225-8320,"Georgina Gravino, gxg4631@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Multnomah Street Elementary,Los Angeles,Los Angeles Unified,"2101 North Indiana Ave. Los Angeles, CA 90032-3618",(323) 225-6005,"Tiffany Melgar, tiffany.khauo@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Murchison Street Elementary,Los Angeles,Los Angeles Unified,"1501 Murchison St. Los Angeles, CA 90033-1526",(323) 222-0148,"Elvira Juarez, elvira.juarez@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Napa Street Elementary,Los Angeles,Los Angeles Unified,"19010 Napa St. Northridge, CA 91324-4416",(818) 885-1441,"Luis Alvarado, luis.e.alvarado@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Nathaniel Narbonne Senior High,Los Angeles,Los Angeles Unified,"24300 Western Ave. Harbor City, CA 90710-1742",(310) 257-7100,"Sara Aiello, sma1639@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
Nava College Preparatory Academy,Los Angeles,Los Angeles Unified,"1319 East 41st St. Los Angeles, CA 90011-3301",(323) 235-6800,"Jennifer Naggar, jsn7627@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Nevada Avenue Elementary,Los Angeles,Los Angeles Unified,"22120 Chase St. West Hills, CA 91304-2307",(818) 348-2169,"Tanya Nott, ttn8206@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Nevin Avenue Elementary,Los Angeles,Los Angeles Unified,"1569 East 32nd St. Los Angeles, CA 90011-2213",(323) 232-2236,"Rachael Sawyer Perkins, rsawyer@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Newcastle Elementary,Los Angeles,Los Angeles Unified,"6520 Newcastle Ave. Reseda, CA 91335-6230",(818) 343-8795,"Cynthia Van Houten, cvanhout@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Ninety-Fifth Street Elementary,Los Angeles,Los Angeles Unified,"1109 West 96th St. Los Angeles, CA 90044-3205",(323) 756-1466,"Manuel Nava, mnava20@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Ninety-Ninth Street Elementary,Los Angeles,Los Angeles Unified,"9900 South Wadsworth Ave. Los Angeles, CA 90002-2746",(323) 564-2677,"Marissa Borden, mborden@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Ninety-Second Street Elementary,Los Angeles,Los Angeles Unified,"9211 Grape St. Los Angeles, CA 90002-2528",(323) 564-7946,"Hugh Ryan, hugh.ryan@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Ninety-Sixth Street Elementary,Los Angeles,Los Angeles Unified,"1471 East 96th St. Los Angeles, CA 90002-2210",(323) 567-8871,"Christine Sanders, chs9365@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Ninety-Third Street Elementary,Los Angeles,Los Angeles Unified,"330 East 93rd St. Los Angeles, CA 90003-3827",(323) 754-2869,"Victor Sanchez, vsanch7@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Ninth Street Elementary,Los Angeles,Los Angeles Unified,"835 St.anford Ave. Los Angeles, CA 90021-1847",(213) 896-2700,"Juana Guzman-Murdock, jjg9849@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Noble Avenue Elementary,Los Angeles,Los Angeles Unified,"8329 Noble Ave. North Hills, CA 91343-6617",(818) 892-1151,"Maria Leon, mev6948@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Nora Sterry Elementary,Los Angeles,Los Angeles Unified,"1730 Corinth Ave. Los Angeles, CA 90025-4211",(310) 473-2172,"Sara Lasnover, sara.lasnover@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Normandie Avenue Elementary,Los Angeles,Los Angeles Unified,"4505 South Raymond Ave. Los Angeles, CA 90037-2817",(323) 294-5171,"Sandra Sklarsh, ssklarsh@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Normont Elementary,Los Angeles,Los Angeles Unified,"1001 West 253rd St. Harbor City, CA 90710-3003",(310) 326-5261,"Veronica McKenrick, vxc5041@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
North Hollywood Senior High,Los Angeles,Los Angeles Unified,"5231 Colfax Ave. North Hollywood, CA 91601-3002",(818) 753-6200,"Ricardo Rosales, rxr0552@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
Northridge Academy High,Los Angeles,Los Angeles Unified,"9601 Zelzah Ave. Northridge, CA 91325-2010",(818) 700-2222,"Nidia Castro, ncalles@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Northridge Middle,Los Angeles,Los Angeles Unified,"17960 Chase St. Northridge, CA 91325-3811",(818) 678-5100,"Richard Ramos, rramos3@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Norwood Street Elementary,Los Angeles,Los Angeles Unified,"2020 Oak St. Los Angeles, CA 90007-1307",(213) 748-3733,"Irene Worrell, isw4408@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Nueva Vista Elementary,Los Angeles,Los Angeles Unified,"4412 Randolph St. Bell, CA 90201-1224",(323) 562-3015,"Bruce Clark, bclark@lausd.net",Elementary Schools (Public),K,6,Yes,No,Yes,No
O'Melveny Elementary,Los Angeles,Los Angeles Unified,"728 Woodworth St. San Fernando, CA 91340-4219",(818) 365-5621,"Henry Vidrio, henry.vidrio@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Olive Vista Middle,Los Angeles,Los Angeles Unified,"14600 Tyler St. Sylmar, CA 91342-2826",(818) 833-3900,"Clara Herran, clara.herran@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Oliver Wendell Holmes Middle,Los Angeles,Los Angeles Unified,"9351 Paso Robles Ave. Northridge, CA 91325-2528",(818) 678-4100,"Hanh D Aloisio, hkd5040@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Olympic Primary Center,Los Angeles,Los Angeles Unified,"950 South Albany St. Los Angeles, CA 90015-1212",(213) 739-2753,"Celia Mata-Pacheco, cmata2@lausd.net",Elementary Schools (Public),K,K,Yes,No,No,No
One Hundred Eighteenth Street,Los Angeles,Los Angeles Unified,"144 East 118th St. Los Angeles, CA 90061-2422",(323) 757-1717,"Grace Lee, grace.lee@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
One Hundred Eighty-Sixth Street Elementary,Los Angeles,Los Angeles Unified,"1581 West 186th St. Gardena, CA 90248-3951",(310) 324-1153,"Antonio Aguilar, aaguil11@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
